Имя пользователя,Дата комментария,Текст комментария,Дата ответа,Текст ответа,Оценка,Статус
Alima Konakbayeva,2024-10-14,Врач узист Гаухар Ержановна профессионал своего дела👍 однозначно рекомендую. Все услуги произвела на высшем уровне. Очень приветливый специалист. Больше всего понравился этот филиал Эмирмеда ❤️,2024-10-14,"Уважаемая Alima Konakbayeva,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Сапарбек Мырзахмет,2024-10-14,Керемет барлық жұмысыңды тез тез бітіріп береді.Кәсіптеріне береке берсін.Санат Серикказиевич даригерге рахмет!,2024-10-14,"Құрметті Сапарбек Мырзахмет,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Амина Молгайдарова,2024-10-14,"Маммолог Исатаева Нуризат Абдинуровна, өте жақсы врач, мені сүйікті врачым,сонау жақтан келдім. Қайда жүрсе сонда барып қараламын. Рахмет айтамын. Алла разы болсын.",2024-10-14,"Құрметті Амина Молгайдарова,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Амина Рустемова,2024-10-14,Хожу уже 14 дней на физео терапию уже который день жду медсестру по пол часа то она спит то телефон оставила каждый раз новая история это не нормально указала на это то что очень долго жду она с не довольством делает свою работу не как мед работник а так если сейчас на ее места мясника посадить,2024-10-14,"Уважаемая Амина Рустемова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",2,0
Баука Айтказы,2024-10-12,Самый бардачный клиника.Берут деньги но нет врача.И начинают пинать по кабинетам.В итоге нет нет врача. Просто так отняли время.из за них опоздал на работу.Подошел на кассу потребовал деньги сказали что через заявление вернут через 3 дня. Я разочарован в данной клинике,2024-10-12,"Уважаемая Баука Айтказы,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике н…",1,0
Darenergy Flashman,2024-10-12,"Не спорю, очень широкий спектр услуг, некоторые врачи хорошие. Но как с таким большим оборотом общеообменную вентилияцию не сделали сразу. Больные приходят заражают друг друга, ходить опасно сюда. По Саннормам как допустили такое куда смотрят гос.органы да и самим владельцем перед тем как начатть по человеческий нужно подходить к работе!",2024-10-12,"Уважаемый Darenergy Flashman,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клин…",1,0
Ахатова Ахатова,2024-10-11,"Пошли сдавать анализы, инвалидам сказали скидка 20% а в итоге -20тенге, только на 2 анализа сделали скидку, а остальное просто -20тенге, когда начала звонить и разбираться сказали что дополнительно удержали за забор анализы, но это в чеки не указано, я просто чек не там сразу посмотрела а когда домой пришла и увидела, понравилось то что ребенку трудно брать анализы, ну девушки молодцы смогли взять анализ",2024-10-11,"Уважаемая Ахатова Ахатова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",3,0
Aigerim Raushan,2024-10-10,"Хочу поблагодарить своего врача Куралай Жумашевну. Хотелось бы отметить ее высокий профессионализм и умение найти подход к каждому пациенту. Уже не раз отправляю к ней своих близких, все довольны.",2024-10-10,"Уважаемая Aigerim Raushan,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Виктор Шакиров,2024-10-10,"Спасибо большое, пока я лечился врач была на связи)",2024-10-10,"Уважаемый Виктор Шакиров,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень ра…",5,1
Нурбол А,2024-10-09,"Крайне разочарован посещением медицинского центра Эмир. Был там на приеме [дата]. С самого начала возникло ощущение, что основная цель - не помочь пациенту, а получить как можно больше денег. Назначили множество ненужных анализов и процедур, хотя жалоба была простая. Цены значительно завышены по сравнению с другими клиниками.

Врач уделил всего 10 минут, при этом половину времени рассказывал о дополнительных платных услугах, вместо того чтобы разобраться в проблеме. Лечение, которое назначили, не помогло, а только ухудшило состояние.

Не рекомендую эту клинику. Складывается впечатление, что здесь главное - не здоровье пациентов, а получение прибыли любым способом. Потратил много денег и времени впустую. Советую поискать другой медицинский центр, где действительно заинтересованы в лечении пациентов.",2024-10-09,"Уважаемый Нурбол,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправ…",1,0
Makpal,2024-10-08,УЗИ отличный врач,2024-10-08,"Уважаемая Makpal,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Арыстан Музаффаров,2024-10-07,"Хотел бы поблагодарить и похвалить врача-травматолога- Рахимжанова Нурсултана Арыстанбековича!

Проходил лечение и находился под качественным наблюдением. Рекомендации получал вовремя, все доходчиво объяснит и выслушает!
Очень доволен и благодарен🙏🏻",2024-10-07,"Уважаемый Арыстан Музаффаров,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очен…",5,1
Николай Малышев,2024-10-07,"Был на приеме у Оракбаев Санат Серрикказаевич (Террапевт).
7 октября 2024 года.
Запись по приему: #641849021728282183
Плюсы: 1. посмотрел горло, назначит лекарства.
Минусы: 1. назначил рентген, однако даже не взлянул на него, не профессионально, написал резутаты - бронхит на основании заключения мед. брата.
2. Неуверенная речь, нет доверия к данному специалисту, нечеткие термины.
3. Навязывание дорогостоящих анализов крови за 20 000 тенге, однако хватило бы общего анализа крови за 5000 тенге.
P.S больше не приду, так как считаю человека не профессионалом. Если хочешь стричь деньги, то сделай хотябы так чтобы я поверил в это и не наглей.",2024-10-07,"Уважаемый Николай Малышев,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",2,0
Арман Утепбегенов,2024-10-06,"кароче бугн кешки 21:40 болдым вежлывый рентгендеги жигит кутип алды нормально карсы алып тез тез 5 минут ишинде жасап берди рахмет сол жигитке алгысым шексиз, бирак вич,гепатит жасалуы узыктау екен",2024-10-06,"Уважаемый Арман Утепбегенов,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Umit Rysbaykyzy,2024-10-06,Гинеколог Шынар Кенжебековнаға көп рахмет,2024-10-06,"Құрметті Umit Rysbaykyzy,
Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Birganym Jangabylova,2024-10-06,"Аяжан Серікова медсестра физиотерапия,ультразвук,электрофорез өте күшті жасайды,пациентпен жақсы қарым қатынас жасайды👍🏻",2024-10-06,"Құрметті Birganym Jangabylova,
Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Lila Lutik,2024-10-06,"Хочу выразить огромную благодарность своему терапевту Ораловой М.С.! Профессиональный, внимательный и всегда готов помочь. Доктор внимательно выслушивает, объясняет все доступно и дает ценные рекомендации. Благодаря его заботе и подходу я чувствую себя намного лучше. Рекомендую этого специалиста всем, кто ищет квалифицированного врача!",2024-10-06,"Уважаемая Lila Lutik,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Карлыгаш Успанова,2024-10-06,Очень чуткий специалист Оралова М.С. Мама в восторге. Теперь только к ней обращаемся,2024-10-06,"Уважаемая Карлыгаш Успанова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Tolganay Myrzagali,2024-10-05,акушер-гинеколог Байгулова Гульжахан очень хороший врач🫶🏻,2024-10-05,"Уважаемая Tolganay Myrzagali,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очен…",5,1
Ажар Курманбаева,2024-10-05,"Спасибо врачам маммологу Исатаевой Нуризат Абдинуровны и узисту Заманбековой Маржан Амантаевны.
Все понятно донесли, все проверили. Приятные люди работают. Видно что любят и ценят свою работу!
Благодарю за проведенные обследования и лечения! Всем рекомендую.",2024-10-05,"Уважаемая Ажар Курманбаева,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Актолкын Кулимбетова,2024-10-05,Забор кабинетте Жұлдыз медсестра алғысымыз шексіз қолы өте жеңіл . Жұмыстарыңыз алға баса берсін,2024-10-05,"Құрметті Актолкын Кулимбетова,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет…",5,1
Diana Zhanabergenova,2024-10-05,"Хорошая клиника,вежливый персонал",2024-10-05,"Уважаемая Diana Zhanabergenova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы оч…",5,1
Карина Агзамова,2024-10-05,"Хотела сказать насчет возраста денег, это просто ужас. Нет что бы дать бумагу написать заявление, нет мне начали говорить про какие то бонусы или же с эти чеком могу посетить через месяц, зачем делать так если я четко сказала свои требования, начали говорить «ой деньги к вам только через 3 дня придут, зачем вам ждать» им то какое дело? Потом подошла через 3 дня, заставили 1,5 часа ждать еще и нахамили. Столько проблем создают из за возраста.",2024-10-05,"Уважаемая Карина Агзамова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",2,0
Тогжан Дилдаханова,2024-10-04,"К сожалению, наш опыт в данном медицинском центре был крайне негативным. Сегодня, около 19:30, мы обратились за помощью, и дважды нам сделали рентген, оба раза не по нашей просьбе, что вызвало недоумение. Оказалось, что вместо врачей там сидят лаборанты, которые проявили полную некомпетентность в своей работе. Особенно хотелось бы отметить Рамадыка Жандоса и Аматова Ерлана, которые не справились с выполнением своих обязанностей. Возникает вопрос, как в таком медицинском центре вообще могут сидеть лаборанты, принимающие решения? В процессе общения меня довели до истерики. В связи с этим, мы просим рассмотреть вопрос о возврате средств за предоставленные услуги. Рекомендую подумать дважды, прежде чем обращаться сюда.",2024-10-04,"Уважаемая Тогжан Дилдаханова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клин…",1,0
vadim Surin,2024-10-04,"Асель Сагатовна Дерматолог -хороший доктор,после первого назначения есть улучшения ,спасибо за профессионализм!!!",2024-10-04,"Уважаемый vadim Surin,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Zhazira Ermekovna,2024-10-04,Я очень была довольна над обследованием маммолога Исатаева Нуризат Абдинуровной тщательно проверяет и назначает лечение советую всем,2024-10-04,"Уважаемая Zhazira Ermekovna,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
. .,2024-10-04,"Дерматолог Маратқызы Балдана, хороший врач, знает свое дело! Врач находится всегда на связи, отвечает на вопросы и жалобы. Грамотно все расписывает лечение.",2024-10-04,"Уважаемый пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Айжан Алимбетова,2024-10-04,Супер лор врач Зафар!,2024-10-04,"Уважаемая Айжан Алимбетова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Майгуль Кожабекова,2024-10-02,Хороший врачи и медсестры,2024-10-02,"Уважаемая Майгуль Кожабекова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очен…",5,1
Дани эль,2024-10-01,"Доктор Айсулу Сарсенбаевна выписала очень хорошее лечение, чувствую себя отлично!!",2024-10-01,"Уважаемый Дани эль,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Nurtileu Konirbay,2024-10-01,Флюра тез стид,2024-10-01,"Уважаемый Nurtileu Konirbay,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Markus Dupree,2024-09-30,"30.09.2024 года в 18:20 приехали в мед.центр сделать ЭКГ сердца. Прошли на ресепшен где сидели 3 девушки. Зарегистрировались, оплатили далее нам сказали пройти в кабинет 203/1(кардиолог). Подошли к кабинету, где было закрыто, снаружи висел ключ. Спустились на ресепшен уточнить где врач, на что на ответили «ожидайте сейчас подойдет». Просидели 20 минут пошли уточнять еще раз, а «рыбки» за ресепшеном сообщают, что врач оказывается ушел. Прошу принять меры.",2024-09-30,"Уважаемый Markus Dupree,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике н…",1,0
Наталья Голубева,2024-09-30,"На ресепшене всё отлично, чего не скажешь о кабинете флюорографии, очень возмутительно что девушек на рентген приглашает парень!!!!!! Не допустимо для тех, кто не желает раздеваться при посторонних мужчинах. Немного голубоватое обслуживание, общение без тактики, доброжелательность отсутствует.
В мед центре отсутствуют файлы, для переноски мед.справок.... казалось бы 21 век. В целом по остальному пока всё нравится.",2024-09-30,"Уважаемый Наталья Голубева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клиник…",3,0
Артем .,2024-09-30,"Не ходите сюда ,если не хотите себя добить ,с переломом приезжал раньше,прописали мазь от ушибов ,сегодня приехал с бессонницей прописали сдать все возможные анализы ,после прохождения первого ,даже не стал идти дальше ,деньги не вернули ,просидел 15 минут с врачем в кабинете посмотрел как она смотрит в телефон все это время ,в аптеке вас проконсультируют лучше,отзывы тут накручивают ,реальная их оценка 0",2024-09-30,"Уважаемый Артем .

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправ…",1,0
Nuraiym 🐻‍❄️,2024-09-29,"Хотим поблагодарить отличного специалиста по УЗИ , квалифицированного врача - Жолдасова Элмира Сапарбаевна. Очень помогла нам, внимательно все просмотрела и подсказала что делать , советуем так как были не первый раз, мастер своего дела!☺️",2024-09-29,"Уважаемая Nuraiym,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Асель Ертаева,2024-09-29,"Мутят что-то со скидками инвалидам и пенсионерам то 10, 15, хотя 20%, не известно, на какие процедуры еще распространяется скидка… 5 человек сидят, ничего не знают, а может знают, но сказанно тупить. Люди, отзывы пишем, чтобы вы при выборе обратили внимание, что там происходит… я ушла оттуда с полным разочарованием от руководства клиники, понятно бизнес, но всех денег не заработать, и с собой не заберете, грех берут на себя и те, кто работает там и врут ежедневно такому количеству народу, наживаясь на их здоровье, здоровья вам…",2024-09-29,"Уважаемая Асель Ертаева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике н…",2,0
Николай БАЙЖУМАНОВ,2024-09-29,"""Хочу выразить огромную благодарность узисту Адильжану Аркеновичу за профессионализм и грамотный подход. Благодаря его внимательности и точной диагностике удалось вовремя сделать операцию. Рекомендую как отличного специалиста!""",2024-09-29,"Уважаемый Николай БАЙЖУМАНОВ,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очен…",5,1
Анастасия Лещенко,2024-09-29,"спасибо за консультацию и быстрый прием, конечно для студентов дороговато , но здоровье превыше всего)",2024-09-29,"Уважаемая Анастасия Лещенко,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Азамат Шайыхов,2024-09-28,"Пропихивают ненужные анализы, человеку который вообще не разбирается в медицине, я за помощью к вам пришел, а вы взяли и отправили сдать не нужный анализ за 19к.",2024-09-28,"Уважаемая Азамат Шайыхов,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",1,0
Doc Izim,2024-09-28,"Недавно были у стоматолога ночью с ребёнком, и я хочу выразить огромную благодарность врачу и персоналу клиники. Несмотря на позднее время, нам оказали очень качественную и внимательную помощь. Доктор Фирузи проявил профессионализм и подход к ребёнку, что помогло малышу чувствовать себя спокойнее. Приятно, что такие квалифицированные специалисты готовы прийти на помощь в любое время суток. Рекомендую!",2024-09-28,"Уважаемый пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Светлана Света,2024-09-27,"Была сегодня у Кулиева Аслана Сериковича,прекрасный врач. Дал на все вопросы квалификацированные ответы! Спасибо вам большое,что успокоили меня и помогли! Хорошо,что ещё есть такие грамотны, добродушные и ответственные мед.работники.",2024-09-27,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Жансая Жасболатова,2024-09-27,Ходила к прием будучи полностью здоровой ради ежегодного обследования. Пытались пропихнуть целую гору анализов и доп процедур,2024-09-27,"Уважаемая Жансая Жасболатова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клин…",1,0
Маржан Косакбаева,2024-09-26,"Была в клинике в ночь со вторника на среду. Заранее записалась к терапевту и к лору, но к сожалению все равно нужно будет отстоять огромную очередь на регистратуру и на кассу,на регистрации сидит только один сотрудник +к этому на кассе женщина сидела новенькая, постоянно зовет на помощь этого сотрудника, в связи с этим очередь километровая. Зашла сперва к терапевту Амирхановой, назначила мне анализы, и сказала чтоб сразу после сдачи анализов сходила к лору, чтоб получить назначения по гаймориту. Лор врач не отвечает на вопросы, а только печатает на комп назначения( мол я там все написала, прочитаешь оттуда), и с результатами анализов я поднялась к терапевту на 3 этаж, простояла 15 мин, кабинет был закрыт, думала что у нее пациент(мертвая тишина), спустилась на регистрацию. И тут мне сообщают, что врач уже уехал, у нее больше нет пациентов на сегодня. Что за безответственность?! Направила меня к лору, назначила анализы и не дождавшись пациента уехала! Я поехала во вторник в 9 вечера и вышла оттуда в 01:40 в среду. И за эти 4,5 часа я была полноценно только у лора 15 мин. Почти 3 часа ушло на очередь на регистрацию и на кассу! К вам в больницу в ночное время люди обращаются, потому что они нуждаются в помощи врачей! Я попросила оформить мне возврат за консультацию терапевта( которой не состоялась), на что мне отвечают: вы ведь уже были на консультации у врача. Получается в их понимании, консультация врача-это что она направила на анализы(на которые я потратила не малые деньги просто так, потому что по готовым результатам, меня никто не проконсультировал!!!!!) я еле стояла на ногах, уже не было сил ругаться (ведь понимаю, что это не вина сотрудника на регистратуре, это безответственность Врача!!!)",2024-09-26,"Уважаемая Маржан Косакбаева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клини…",2,0
Жадыра Каныбековна,2024-09-26,Здравствуйте сдавала анализы у вас в клинке . Сказали то что анализы будут готовы через 2-3 дня . При том что я им звонила и писала они сказали ждать обратной связи . И все больше ничего не писали . Каждый божий день я писала и звонила все откладывали . Когда я пришла сказали то что анализ будет готовиться неделю . Учитывая то что мне все твердили что результат будет готов через 2-3 дня и никто мне не предупреждал что будет неделю . Только сейчас отправили когда я начала твердить о возврате средств. Хотела написать заявление но мне не дали написать утверждая то что говорили неделю и что я уже получила результат. Даже в ватсапе у меня написано 2-3 дня . Так какого .. я узнаю что результаты готовится неделю . Я звонила писала так и откладывали . Обратилась по отзывам в эту клинку . Сами не могут связаться со своей лабораторией . Прошу дать мне обратной связи как можно скорее так как не получила нормально ответа в клинке и по переписке,2024-09-26,"Уважаемая Жадыра Каныбековна,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клин…",1,0
Katarina Shuvalova,2024-09-26,"Хочу выразить благодарность своему семейному врачу Куралай Жумашевне. Мы уже много лет доверяем свое здоровье только ей. Компетентный, чуткий профессионал который всегда готов нам помочь! Рекомендую всем друзьям и знакомым. Даже в самых сложные случаях Куралай Жумашевна находит лучшие варианты лечения и всегда с нами на связи до самого выздоровления! Благодарю заботу и профессионализм!",2024-09-26,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Жамиля Калижарова,2024-09-26,"Зашла оставить отзыв и выразить свою благодарность лор врачу КЕНЖЕБАЕВОЙ КУРАЛАЙ ЖУМАШЕВНЕ. Прочитав тут пару отзывов, прибываю в мягком шоке. У меня случился абсолютно противоположный опыт с данным врачом. По порядку, я пришла на прием с уверенностью, что у меня гайморит. Сама себе поставила такой диагноз, опираясь на интернет. Но, слава богу Куралай Жумашевна провела осмотри и отправила меня сделать снимок, который подтвердил, что никакого гайморита у меня нет. Далее, она провела все нужные процедуры: промыла нос, смазала горло, так как и оно у меня болело. Я осталась довольна тем, что врач знает свое дело и не верит непонятным «диагнозам» нас, пациентов, которые мы себе ставим сами зачастую. Все таки она здесь врач. Второе, сидя в очереди я увидела какое большое количество количество пациентов в день принимает врач. У кого горло болит, у кого сопли. Во время приема разговорились с врачом, она сказала, что даже, простите, иногда нет времени сходить в туалет, не говоря уже о перерывах. Касательно денег, прием стоит 3500. За остальные процедуры, если они нужны, нужно доплачивать. По мне, это логично. Частная клиника априори не может быть бесплатной, для этого существуют поликлиники. И напоследок об «вечно открытой двери». Ее открывают сами пациенты! Во время приема, при мне, несколько людей тупо открыли дверь и зашли, увидели меня и вышли. Что сказать, стучаться видимо некоторых не научили. Да",2024-09-26,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Лев Левин,2024-09-26,"Делал в 8-м микрорайоне флюорографию, быстро записали и быстро сделали, все процедура длилась около 30-ти минут. Стоит всего 1.900. Спасибо. Специально адрес уточнил, чтобы вы точнее знали, куда идти. В остальных филиалах я не был.",2024-09-26,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Dinara Ismailova,2024-09-26,"Неприятный осадок после посещения данной клиники. Врач КЕНЖЕБАЕВА КУРАЛАЙ ЖУМАШЕВНА!!!Ощущение, что меня обманули и проявили халатность по отношению к пациенту.
Во-первых, записалась на прием к врачу через приложение, в определенное время. На месте выясняется, что живая очередь. При том, как проходной двор, прием проходит с открытой дверью.
Во-вторых, запись стоила со скидкой через приложение doc.kz 3500 тг., что входит в эту стоимость ? Если за осмотр я сверху доплатила? Это вход в кабинет стоит 3500 тг?
Сказала, что болит горло, подозреваю, что ангина. Врач сказала лишь, нет, у вас же нет температуры.
После осмотра сказала, просто на миндалинах остатки еды и всё. Вы здоровы.
За чистку с меня взяли еще 4500, при том врач, вообще не объясняющий ничего, слово сложно вытянуть. Говорит почищу и всё, заплатите и идите. На мои вопросы, какие профилактические процедуры нужно соблюдать, ответила лишь ну сами никак это не почистите. Так за услугу нужно было заплатить на кассе и снова вернуться отстоять очередь и потом получить назначение.
Пока стояла в очереди заметила, что она абсолютно всем делала одно и тоже, чистила миндалины.. Я впервые сталкиваюсь с такой процедурой и ощущение, что меня обманули и сделали эту процедуру лишь для того, чтобы еще сверху взять с клиента деньги и получается прием не со скидкой, а с полной стоимостью и некорректным лечением, так как я сейчас лежу с температурой и из носа ручьем сопли и боль в горле. Врач пренебрег своими прямыми обязательствами и сказав, что я не болею сделала весьма большую ошибку!",2024-09-26,"Уважаемая Dinara Ismailova,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клиник…",1,0
Нурсулу Жайсанбаева,2024-09-25,"Позвонила заранее, сказали что до 10 можете придти и справка на бассейн ребенку в течении часа будет готово, сдала соскоб на яйцеглист. После результата говорят что дерматолога нет, чтобы заполнить бумагу. Это ужасно потерять столько времени. На ресепшене не знают точной информации. Если бы они предупредили сразу . Ужасное отношение",2024-09-25,"Уважаемая Нурсулу Жайсанбаева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей кли…",1,0
Гульжан Жолдыбаева,2024-09-25,"Заманбекова Маржан Амантаевна , грамотный Узи врач, рекомендую всем. Я довольна. Снимала узи брюшной полости и по гинекологии",2024-09-25,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
